dataset,dataset_code,validation_design,repeat,outer_fold,split_id,split_seed,train_rows,test_rows,train_sources,test_sources,overlapping_source_count,test_rows_with_source_seen_in_training,test_source_seen_fraction,heldout_source_id
cell_viability,CV,publication_grouped,3,1,CV_publication_grouped_r03_f001,3547288985,486,122,59,16,0,0,0.0,
cell_viability,CV,publication_grouped,3,2,CV_publication_grouped_r03_f002,3547288985,486,122,60,15,0,0,0.0,
cell_viability,CV,publication_grouped,3,3,CV_publication_grouped_r03_f003,3547288985,487,121,60,15,0,0,0.0,
cell_viability,CV,publication_grouped,3,4,CV_publication_grouped_r03_f004,3547288985,487,121,60,15,0,0,0.0,
cell_viability,CV,publication_grouped,3,5,CV_publication_grouped_r03_f005,3547288985,486,122,61,14,0,0,0.0,
cell_viability,CV,publication_grouped,4,1,CV_publication_grouped_r04_f001,2828049170,487,121,60,15,0,0,0.0,
cell_viability,CV,publication_grouped,4,2,CV_publication_grouped_r04_f002,2828049170,487,121,60,15,0,0,0.0,
cell_viability,CV,publication_grouped,4,3,CV_publication_grouped_r04_f003,2828049170,486,122,60,15,0,0,0.0,
cell_viability,CV,publication_grouped,4,4,CV_publication_grouped_r04_f004,2828049170,486,122,61,14,0,0,0.0,
cell_viability,CV,publication_grouped,4,5,CV_publication_grouped_r04_f005,2828049170,486,122,59,16,0,0,0.0,
cell_viability,CV,publication_grouped,5,1,CV_publication_grouped_r05_f001,2063338900,486,122,61,14,0,0,0.0,
cell_viability,CV,publication_grouped,5,2,CV_publication_grouped_r05_f002,2063338900,487,121,60,15,0,0,0.0,
cell_viability,CV,publication_grouped,5,3,CV_publication_grouped_r05_f003,2063338900,486,122,59,16,0,0,0.0,
cell_viability,CV,publication_grouped,5,4,CV_publication_grouped_r05_f004,2063338900,487,121,60,15,0,0,0.0,
cell_viability,CV,publication_grouped,5,5,CV_publication_grouped_r05_f005,2063338900,486,122,60,15,0,0,0.0,
cell_viability,CV,leave_one_publication_out,1,1,CV_leave_one_publication_out_r01_f001,3691203163,604,4,74,1,0,0,0.0,doi:10.1002/adfm.201700798
cell_viability,CV,leave_one_publication_out,1,2,CV_leave_one_publication_out_r01_f002,3691203163,601,7,74,1,0,0,0.0,doi:10.1002/adhm.201500677
cell_viability,CV,leave_one_publication_out,1,3,CV_leave_one_publication_out_r01_f003,3691203163,599,9,74,1,0,0,0.0,doi:10.1002/adhm.201601451
cell_viability,CV,leave_one_publication_out,1,4,CV_leave_one_publication_out_r01_f004,3691203163,605,3,74,1,0,0,0.0,doi:10.1002/adhm.201801631
cell_viability,CV,leave_one_publication_out,1,5,CV_leave_one_publication_out_r01_f005,3691203163,604,4,74,1,0,0,0.0,doi:10.1002/adhm.201901544
cell_viability,CV,leave_one_publication_out,1,6,CV_leave_one_publication_out_r01_f006,3691203163,604,4,74,1,0,0,0.0,doi:10.1002/adhm.201901792
cell_viability,CV,leave_one_publication_out,1,7,CV_leave_one_publication_out_r01_f007,3691203163,598,10,74,1,0,0,0.0,doi:10.1002/adma.201305506
cell_viability,CV,leave_one_publication_out,1,8,CV_leave_one_publication_out_r01_f008,3691203163,599,9,74,1,0,0,0.0,doi:10.1002/adma.201503310
cell_viability,CV,leave_one_publication_out,1,9,CV_leave_one_publication_out_r01_f009,3691203163,593,15,74,1,0,0,0.0,doi:10.1002/adma.201604983
cell_viability,CV,leave_one_publication_out,1,10,CV_leave_one_publication_out_r01_f010,3691203163,595,13,74,1,0,0,0.0,doi:10.1002/adma.201703443
