dataset,dataset_code,validation_design,repeat,outer_fold,split_id,split_seed,train_rows,test_rows,train_sources,test_sources,overlapping_source_count,test_rows_with_source_seen_in_training,test_source_seen_fraction,heldout_source_id
filament_diameter,FD,random_rowwise,1,5,FD_random_rowwise_r01_f005,3599849752,229,57,53,33,32,54,0.9473684210526315,
filament_diameter,FD,random_rowwise,2,1,FD_random_rowwise_r02_f001,676311997,228,58,52,34,32,55,0.9482758620689655,
filament_diameter,FD,random_rowwise,2,2,FD_random_rowwise_r02_f002,676311997,229,57,52,30,28,55,0.9649122807017544,
filament_diameter,FD,random_rowwise,2,3,FD_random_rowwise_r02_f003,676311997,229,57,54,30,30,57,1.0,
filament_diameter,FD,random_rowwise,2,4,FD_random_rowwise_r02_f004,676311997,229,57,51,33,30,53,0.9298245614035088,
filament_diameter,FD,random_rowwise,2,5,FD_random_rowwise_r02_f005,676311997,229,57,52,30,28,55,0.9649122807017544,
filament_diameter,FD,random_rowwise,3,1,FD_random_rowwise_r03_f001,2958115413,228,58,54,32,32,58,1.0,
filament_diameter,FD,random_rowwise,3,2,FD_random_rowwise_r03_f002,2958115413,229,57,51,32,29,54,0.9473684210526315,
filament_diameter,FD,random_rowwise,3,3,FD_random_rowwise_r03_f003,2958115413,229,57,52,33,31,53,0.9298245614035088,
filament_diameter,FD,random_rowwise,3,4,FD_random_rowwise_r03_f004,2958115413,229,57,52,29,27,52,0.9122807017543859,
filament_diameter,FD,random_rowwise,3,5,FD_random_rowwise_r03_f005,2958115413,229,57,51,31,28,54,0.9473684210526315,
filament_diameter,FD,random_rowwise,4,1,FD_random_rowwise_r04_f001,623330807,228,58,53,31,30,57,0.9827586206896551,
filament_diameter,FD,random_rowwise,4,2,FD_random_rowwise_r04_f002,623330807,229,57,52,33,31,55,0.9649122807017544,
filament_diameter,FD,random_rowwise,4,3,FD_random_rowwise_r04_f003,623330807,229,57,52,25,23,54,0.9473684210526315,
filament_diameter,FD,random_rowwise,4,4,FD_random_rowwise_r04_f004,623330807,229,57,53,31,30,55,0.9649122807017544,
filament_diameter,FD,random_rowwise,4,5,FD_random_rowwise_r04_f005,623330807,229,57,50,32,28,52,0.9122807017543859,
filament_diameter,FD,random_rowwise,5,1,FD_random_rowwise_r05_f001,3956814214,228,58,52,30,28,56,0.9655172413793104,
filament_diameter,FD,random_rowwise,5,2,FD_random_rowwise_r05_f002,3956814214,229,57,53,31,30,56,0.9824561403508771,
filament_diameter,FD,random_rowwise,5,3,FD_random_rowwise_r05_f003,3956814214,229,57,52,33,31,55,0.9649122807017544,
filament_diameter,FD,random_rowwise,5,4,FD_random_rowwise_r05_f004,3956814214,229,57,53,34,33,56,0.9824561403508771,
filament_diameter,FD,random_rowwise,5,5,FD_random_rowwise_r05_f005,3956814214,229,57,53,30,29,56,0.9824561403508771,
filament_diameter,FD,publication_grouped,1,1,FD_publication_grouped_r01_f001,448464143,229,57,43,11,0,0,0.0,
filament_diameter,FD,publication_grouped,1,2,FD_publication_grouped_r01_f002,448464143,229,57,43,11,0,0,0.0,
filament_diameter,FD,publication_grouped,1,3,FD_publication_grouped_r01_f003,448464143,229,57,44,10,0,0,0.0,
filament_diameter,FD,publication_grouped,1,4,FD_publication_grouped_r01_f004,448464143,229,57,42,12,0,0,0.0,
filament_diameter,FD,publication_grouped,1,5,FD_publication_grouped_r01_f005,448464143,228,58,44,10,0,0,0.0,
