dataset,outer_validation_design,outer_repeat,outer_fold,outer_split_id,inner_validation_design,inner_fold,inner_seed,inner_train_rows,inner_validation_rows,inner_train_sources,inner_validation_sources,overlapping_source_count,validation_source_seen_fraction
cell_viability,leave_one_publication_out,1,34,CV_leave_one_publication_out_r01_f034,publication_grouped,2,3888083480,447,149,55,19,0,0.0
cell_viability,leave_one_publication_out,1,34,CV_leave_one_publication_out_r01_f034,publication_grouped,3,3888083480,447,149,55,19,0,0.0
cell_viability,leave_one_publication_out,1,34,CV_leave_one_publication_out_r01_f034,publication_grouped,4,3888083480,447,149,55,19,0,0.0
cell_viability,leave_one_publication_out,1,35,CV_leave_one_publication_out_r01_f035,publication_grouped,1,2835296119,452,150,56,18,0,0.0
cell_viability,leave_one_publication_out,1,35,CV_leave_one_publication_out_r01_f035,publication_grouped,2,2835296119,452,150,55,19,0,0.0
cell_viability,leave_one_publication_out,1,35,CV_leave_one_publication_out_r01_f035,publication_grouped,3,2835296119,451,151,56,18,0,0.0
cell_viability,leave_one_publication_out,1,35,CV_leave_one_publication_out_r01_f035,publication_grouped,4,2835296119,451,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,36,CV_leave_one_publication_out_r01_f036,publication_grouped,1,3615287738,447,149,55,19,0,0.0
cell_viability,leave_one_publication_out,1,36,CV_leave_one_publication_out_r01_f036,publication_grouped,2,3615287738,447,149,57,17,0,0.0
cell_viability,leave_one_publication_out,1,36,CV_leave_one_publication_out_r01_f036,publication_grouped,3,3615287738,447,149,55,19,0,0.0
cell_viability,leave_one_publication_out,1,36,CV_leave_one_publication_out_r01_f036,publication_grouped,4,3615287738,447,149,55,19,0,0.0
cell_viability,leave_one_publication_out,1,37,CV_leave_one_publication_out_r01_f037,publication_grouped,1,3257261283,454,152,56,18,0,0.0
cell_viability,leave_one_publication_out,1,37,CV_leave_one_publication_out_r01_f037,publication_grouped,2,3257261283,455,151,56,18,0,0.0
cell_viability,leave_one_publication_out,1,37,CV_leave_one_publication_out_r01_f037,publication_grouped,3,3257261283,454,152,55,19,0,0.0
cell_viability,leave_one_publication_out,1,37,CV_leave_one_publication_out_r01_f037,publication_grouped,4,3257261283,455,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,38,CV_leave_one_publication_out_r01_f038,publication_grouped,1,2958720943,441,147,56,18,0,0.0
cell_viability,leave_one_publication_out,1,38,CV_leave_one_publication_out_r01_f038,publication_grouped,2,2958720943,441,147,54,20,0,0.0
cell_viability,leave_one_publication_out,1,38,CV_leave_one_publication_out_r01_f038,publication_grouped,3,2958720943,441,147,56,18,0,0.0
cell_viability,leave_one_publication_out,1,38,CV_leave_one_publication_out_r01_f038,publication_grouped,4,2958720943,441,147,56,18,0,0.0
cell_viability,leave_one_publication_out,1,39,CV_leave_one_publication_out_r01_f039,publication_grouped,1,4181518662,444,149,56,18,0,0.0
cell_viability,leave_one_publication_out,1,39,CV_leave_one_publication_out_r01_f039,publication_grouped,2,4181518662,445,148,55,19,0,0.0
cell_viability,leave_one_publication_out,1,39,CV_leave_one_publication_out_r01_f039,publication_grouped,3,4181518662,445,148,55,19,0,0.0
cell_viability,leave_one_publication_out,1,39,CV_leave_one_publication_out_r01_f039,publication_grouped,4,4181518662,445,148,56,18,0,0.0
cell_viability,leave_one_publication_out,1,40,CV_leave_one_publication_out_r01_f040,publication_grouped,1,2053989747,442,148,56,18,0,0.0
cell_viability,leave_one_publication_out,1,40,CV_leave_one_publication_out_r01_f040,publication_grouped,2,2053989747,443,147,56,18,0,0.0
cell_viability,leave_one_publication_out,1,40,CV_leave_one_publication_out_r01_f040,publication_grouped,3,2053989747,443,147,55,19,0,0.0
cell_viability,leave_one_publication_out,1,40,CV_leave_one_publication_out_r01_f040,publication_grouped,4,2053989747,442,148,55,19,0,0.0
cell_viability,leave_one_publication_out,1,41,CV_leave_one_publication_out_r01_f041,publication_grouped,1,1846248275,454,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,41,CV_leave_one_publication_out_r01_f041,publication_grouped,2,1846248275,454,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,41,CV_leave_one_publication_out_r01_f041,publication_grouped,3,1846248275,454,151,56,18,0,0.0
cell_viability,leave_one_publication_out,1,41,CV_leave_one_publication_out_r01_f041,publication_grouped,4,1846248275,453,152,56,18,0,0.0
cell_viability,leave_one_publication_out,1,42,CV_leave_one_publication_out_r01_f042,publication_grouped,1,463090190,452,150,56,18,0,0.0
cell_viability,leave_one_publication_out,1,42,CV_leave_one_publication_out_r01_f042,publication_grouped,2,463090190,451,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,42,CV_leave_one_publication_out_r01_f042,publication_grouped,3,463090190,451,151,56,18,0,0.0
cell_viability,leave_one_publication_out,1,42,CV_leave_one_publication_out_r01_f042,publication_grouped,4,463090190,452,150,55,19,0,0.0
cell_viability,leave_one_publication_out,1,43,CV_leave_one_publication_out_r01_f043,publication_grouped,1,3098144908,454,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,43,CV_leave_one_publication_out_r01_f043,publication_grouped,2,3098144908,454,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,43,CV_leave_one_publication_out_r01_f043,publication_grouped,3,3098144908,453,152,56,18,0,0.0
cell_viability,leave_one_publication_out,1,43,CV_leave_one_publication_out_r01_f043,publication_grouped,4,3098144908,454,151,56,18,0,0.0
cell_viability,leave_one_publication_out,1,44,CV_leave_one_publication_out_r01_f044,publication_grouped,1,1058851056,453,151,57,17,0,0.0
cell_viability,leave_one_publication_out,1,44,CV_leave_one_publication_out_r01_f044,publication_grouped,2,1058851056,453,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,44,CV_leave_one_publication_out_r01_f044,publication_grouped,3,1058851056,453,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,44,CV_leave_one_publication_out_r01_f044,publication_grouped,4,1058851056,453,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,45,CV_leave_one_publication_out_r01_f045,publication_grouped,1,2635692737,454,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,45,CV_leave_one_publication_out_r01_f045,publication_grouped,2,2635692737,454,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,45,CV_leave_one_publication_out_r01_f045,publication_grouped,3,2635692737,454,151,56,18,0,0.0
cell_viability,leave_one_publication_out,1,45,CV_leave_one_publication_out_r01_f045,publication_grouped,4,2635692737,453,152,56,18,0,0.0
cell_viability,leave_one_publication_out,1,46,CV_leave_one_publication_out_r01_f046,publication_grouped,1,1948281805,450,149,56,18,0,0.0
cell_viability,leave_one_publication_out,1,46,CV_leave_one_publication_out_r01_f046,publication_grouped,2,1948281805,449,150,55,19,0,0.0
cell_viability,leave_one_publication_out,1,46,CV_leave_one_publication_out_r01_f046,publication_grouped,3,1948281805,449,150,55,19,0,0.0
cell_viability,leave_one_publication_out,1,46,CV_leave_one_publication_out_r01_f046,publication_grouped,4,1948281805,449,150,56,18,0,0.0
cell_viability,leave_one_publication_out,1,47,CV_leave_one_publication_out_r01_f047,publication_grouped,1,3219891143,453,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,47,CV_leave_one_publication_out_r01_f047,publication_grouped,2,3219891143,453,151,57,17,0,0.0
cell_viability,leave_one_publication_out,1,47,CV_leave_one_publication_out_r01_f047,publication_grouped,3,3219891143,453,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,47,CV_leave_one_publication_out_r01_f047,publication_grouped,4,3219891143,453,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,48,CV_leave_one_publication_out_r01_f048,publication_grouped,1,3327538229,454,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,48,CV_leave_one_publication_out_r01_f048,publication_grouped,2,3327538229,453,152,56,18,0,0.0
cell_viability,leave_one_publication_out,1,48,CV_leave_one_publication_out_r01_f048,publication_grouped,3,3327538229,454,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,48,CV_leave_one_publication_out_r01_f048,publication_grouped,4,3327538229,454,151,56,18,0,0.0
cell_viability,leave_one_publication_out,1,49,CV_leave_one_publication_out_r01_f049,publication_grouped,1,3140717854,448,150,55,19,0,0.0
cell_viability,leave_one_publication_out,1,49,CV_leave_one_publication_out_r01_f049,publication_grouped,2,3140717854,449,149,56,18,0,0.0
cell_viability,leave_one_publication_out,1,49,CV_leave_one_publication_out_r01_f049,publication_grouped,3,3140717854,449,149,55,19,0,0.0
cell_viability,leave_one_publication_out,1,49,CV_leave_one_publication_out_r01_f049,publication_grouped,4,3140717854,448,150,56,18,0,0.0
cell_viability,leave_one_publication_out,1,50,CV_leave_one_publication_out_r01_f050,publication_grouped,1,772081433,448,149,56,18,0,0.0
cell_viability,leave_one_publication_out,1,50,CV_leave_one_publication_out_r01_f050,publication_grouped,2,772081433,447,150,56,18,0,0.0
cell_viability,leave_one_publication_out,1,50,CV_leave_one_publication_out_r01_f050,publication_grouped,3,772081433,448,149,55,19,0,0.0
cell_viability,leave_one_publication_out,1,50,CV_leave_one_publication_out_r01_f050,publication_grouped,4,772081433,448,149,55,19,0,0.0
cell_viability,leave_one_publication_out,1,51,CV_leave_one_publication_out_r01_f051,publication_grouped,1,2884057644,446,148,55,19,0,0.0
cell_viability,leave_one_publication_out,1,51,CV_leave_one_publication_out_r01_f051,publication_grouped,2,2884057644,445,149,55,19,0,0.0
cell_viability,leave_one_publication_out,1,51,CV_leave_one_publication_out_r01_f051,publication_grouped,3,2884057644,446,148,56,18,0,0.0
