outcome_key,outcome_label,unit,meta_primary_source_id,row_count,outcome_mean,outcome_median,outcome_minimum,outcome_maximum,outcome_standard_deviation,ordered_publication_rank,ordered_rank_fraction
filament_diameter,Filament diameter,µm,ref:fisch zenobi wong biofab 2021,4,1063.8049999999998,1063.8049999999998,1014.53,1113.08,56.897869028637636,45,0.8333333333333334
filament_diameter,Filament diameter,µm,ref:bociaga rosinska mat 2020,3,1090.9,1090.9,1090.9,1090.9,0.0,46,0.8518518518518519
filament_diameter,Filament diameter,µm,ref:yu ozbolat jbiomecheng 2013,18,1182.4572222222223,1190.0,1103.19,1227.6,33.84677616163684,47,0.8703703703703703
filament_diameter,Filament diameter,µm,ref:gao cho advfuncmat 2017,4,1222.4265,1257.3125,1059.551,1315.53,112.86714792917674,48,0.8888888888888888
filament_diameter,Filament diameter,µm,ref:kolan leu bioprintamer 2019,6,1256.2968333333333,1242.245,1015.78,1561.572,202.9770457390851,49,0.9074074074074074
filament_diameter,Filament diameter,µm,ref:kang jin small 2020,12,1270.2731666666666,1213.1100000000001,1000.0,1974.411,267.1465373919624,50,0.9259259259259259
filament_diameter,Filament diameter,µm,ref:tigner alge biomacromol 2020,12,1372.2873333333334,1342.315,1014.45,1687.146,207.957342490466,51,0.9444444444444444
filament_diameter,Filament diameter,µm,ref:gantumar sakai,2,1486.13,1486.13,1318.33,1653.93,237.30503576620552,52,0.9629629629629629
filament_diameter,Filament diameter,µm,ref:othman 2020,1,1500.0,1500.0,1500.0,1500.0,,53,0.9814814814814815
filament_diameter,Filament diameter,µm,ref:shin burdick actabiomat 2019,8,1539.63375,1200.0,896.94,2922.58,745.1438945396003,54,1.0
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:gao ma biomat 2015,1,0.58135,0.58135,0.58135,0.58135,,1,0.018518518518518517
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:kosik koziol swieszkowski biofab 2019,6,0.58378,0.50804,0.38664,0.9338,0.220643764652437,2,0.037037037037037035
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:li xu 3biotech 2018,3,0.703448717948718,0.6988846153846154,0.5109230769230769,0.9005384615384615,0.19484778740445133,3,0.05555555555555555
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:chen zhang appmatint 2019,3,0.7283809523809525,0.7283809523809525,0.7283809523809525,0.7283809523809525,0.0,4,0.07407407407407407
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:idaszek swieszkowski biofab 2019,3,0.7489294871794873,0.7085192307692307,0.6686153846153846,0.8696538461538462,0.10643710523964321,5,0.09259259259259259
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:soliman lim advhealthmat 2020,4,0.9189910979228486,0.8756676557863501,0.8643323442136498,1.0602967359050446,0.09458336144764588,6,0.1111111111111111
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:gao cho advfuncmat 2017,4,0.9211955538809344,0.9474849284099474,0.7984559155990957,0.9913564431047476,0.08505436920058537,7,0.12962962962962962
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:mistry yang biomacromolj 2018,30,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.0,8,0.14814814814814814
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:be22assoni khademhosseini biofab 2014,3,0.9542,0.9332,0.933,0.9964,0.036546408852307186,9,0.16666666666666666
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:mondal singh scirep 2019,4,0.9877542372881356,0.9856900726392251,0.7096610169491525,1.2699757869249395,0.23871153629910075,10,0.18518518518518517
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:cidonio oreffo biofab 2019,1,0.9907333333333336,0.9907333333333336,0.9907333333333336,0.9907333333333336,,11,0.2037037037037037
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:yu ozbolat jbiomecheng 2013,18,0.9936615312791783,1.0,0.9270504201680672,1.031596638655462,0.02844266904339231,12,0.2222222222222222
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:duin 2019,2,1.0032321428571427,1.0032321428571427,0.9086309523809524,1.0978333333333332,0.13378628658806904,13,0.24074074074074073
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:lim levato advhealthmat 2020,4,1.0419436201780417,1.044080118694362,0.8362908011869435,1.2433234421364985,0.21630521072467765,14,0.25925925925925924
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:dai 2016,1,1.068230769230769,1.068230769230769,1.068230769230769,1.068230769230769,,15,0.2777777777777778
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:duan butcher jbiomedmatres 2012,2,1.176625,1.176625,1.176625,1.176625,0.0,16,0.2962962962962963
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:colosi khademhosseini advmat 2016,9,1.229631746031746,1.0596666666666668,1.0062857142857142,1.6656190476190476,0.25235404906023895,17,0.3148148148148148
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:zhang ozbolat biomatsci 2015,3,1.3566913580246913,1.2969444444444445,1.2547592592592594,1.5183703703703704,0.14159793337857277,18,0.3333333333333333
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:ojansivu mustafa biofab 2019,6,1.369686274509804,1.3726176470588234,1.1240392156862744,1.6261960784313725,0.16143091075304944,19,0.35185185185185186
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:moncal ozbolat jmatscimatmed 2019,1,1.370919881305638,1.370919881305638,1.370919881305638,1.370919881305638,,20,0.37037037037037035
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:das ghosh actabiomat 2015,3,1.4029733333333334,1.42208,1.33736,1.44948,0.05845102337284892,21,0.3888888888888889
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:kilian ahlfeld akkineni bioprint 2020,12,1.4072758130081302,1.2593158536585367,0.8128780487804877,2.221463414634146,0.6081861194729714,22,0.4074074074074074
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:li li acsapplmatinterf 2017,2,1.41424,1.41424,1.34768,1.4808,0.09413005471155314,23,0.42592592592592593
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:giuseppe 2018,3,1.4927536231884055,1.5217391304347827,1.3478260869565215,1.608695652173913,0.1328282810132129,24,0.4444444444444444
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:othman 2020,1,1.5,1.5,1.5,1.5,,25,0.46296296296296297
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:ning chen biofab 2018,6,1.5045166666666667,1.48685,1.4342,1.6437,0.07884151613627595,26,0.48148148148148145
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:sanz garcia escobedo lucea polymers 2020,2,1.6,1.6,1.6,1.6,0.0,27,0.5
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:chung wallace biomatsci 2013,3,1.60565,1.60565,1.60565,1.60565,0.0,28,0.5185185185185185
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:jia khademhosseini biomat 2016,9,1.6375456053067994,1.5764676616915425,1.3899004975124378,1.92452736318408,0.20452697676073886,29,0.5370370370370371
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:tigner alge biomacromol 2020,12,1.637574383452665,1.601807875894988,1.2105608591885442,2.013300715990453,0.24815911991702375,30,0.5555555555555556
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:shin burdick actabiomat 2019,8,1.649348405964777,1.2855122766422418,0.9608561511762438,3.130843724557569,0.79824302024639,31,0.5740740740740741
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:ouyang 2015,3,1.66,1.66,1.66,1.66,0.0,32,0.5925925925925926
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:ouyang burdick advmat 2017,10,1.6853827893175073,1.722522255192878,1.2181899109792285,2.0420178041543027,0.2934680580110368,33,0.6111111111111112
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:sakai nagasuna mattodbio 2020,1,1.818181818181818,1.818181818181818,1.818181818181818,1.818181818181818,,34,0.6296296296296297
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:li fu scirep 2018,8,1.8306496323529413,1.7909264705882353,1.4377352941176471,2.333794117647059,0.2917788241680935,35,0.6481481481481481
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:kolesky lewis advmat 2014,4,1.8346125,1.811975,1.1168,2.5977,0.7883989138067522,36,0.6666666666666666
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:daly kelly biofab 2016,4,1.8377884615384619,1.932269230769231,1.0196153846153848,2.467,0.6009018505743418,37,0.6851851851851852
filament_to_nozzle_ratio,Filament/nozzle ratio,dimensionless,ref:markstedt mantas biomacromol 2015,2,1.854781,1.854781,1.4798666666666669,2.2296953333333334,0.5302089349280671,38,0.7037037037037037
