global_task_number,task_id,dataset,target_family,target_key,target_column,feature_set,validation_design,repeat,outer_fold,outer_split_id,task_elapsed_seconds,model_key,selected_candidate_id,selected_complexity_rank,inner_mean_publication_macro_mae,inner_mean_row_mae,inner_total_convergence_warnings,preprocessing_variant,outer_training_rows,outer_test_rows,outer_training_sources,outer_test_sources,outer_source_overlap,output_feature_count,outer_row_mae,outer_publication_macro_mae,outer_fit_seconds,outer_convergence_warning_count,selected_parameters_json
11,cell_viability__raw_outcome__core_physics__publication_grouped__r03__f001,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,3,1,CV_publication_grouped_r03_f001,18.823124440001266,elastic_net,elastic_net_02,2,12.97238839704945,13.992953688690477,0,scaled,486,122,59,16,0,33,14.771586096845791,14.543486541772012,0.0015086870007507969,0,"{""alpha"": 1.0, ""l1_ratio"": 0.5}"
11,cell_viability__raw_outcome__core_physics__publication_grouped__r03__f001,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,3,1,CV_publication_grouped_r03_f001,18.823124440001266,random_forest,random_forest_06,6,12.369986750895386,13.225894422539621,0,unscaled,486,122,59,16,0,33,13.738788673664683,12.43402611536651,0.6240947990008863,0,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}"
11,cell_viability__raw_outcome__core_physics__publication_grouped__r03__f001,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,3,1,CV_publication_grouped_r03_f001,18.823124440001266,rbf_svr,rbf_svr_04,4,11.351560663484905,12.825923956585214,0,scaled,486,122,59,16,0,33,13.089293462540267,12.330838644758312,0.01713829700020142,0,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": 0.01}"
12,cell_viability__raw_outcome__core_physics__publication_grouped__r03__f002,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,3,2,CV_publication_grouped_r03_f002,18.67762584800039,ridge,ridge_01,1,14.381990496927784,13.776716967629698,0,scaled,486,122,60,15,0,33,19.225342400611503,18.623547532133053,0.00177810899913311,0,"{""alpha"": 100.0}"
12,cell_viability__raw_outcome__core_physics__publication_grouped__r03__f002,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,3,2,CV_publication_grouped_r03_f002,18.67762584800039,elastic_net,elastic_net_03,3,13.433795075605879,13.430212817680161,0,scaled,486,122,60,15,0,33,17.416940053064746,16.848937792783047,0.0015704680008639116,0,"{""alpha"": 1.0, ""l1_ratio"": 0.1}"
12,cell_viability__raw_outcome__core_physics__publication_grouped__r03__f002,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,3,2,CV_publication_grouped_r03_f002,18.67762584800039,random_forest,random_forest_06,6,11.762038327656146,12.39303130918023,0,unscaled,486,122,60,15,0,33,13.470300006449246,13.482391223960425,0.6326848440003232,0,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}"
12,cell_viability__raw_outcome__core_physics__publication_grouped__r03__f002,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,3,2,CV_publication_grouped_r03_f002,18.67762584800039,rbf_svr,rbf_svr_05,5,11.606427313046904,12.399219035864872,0,scaled,486,122,60,15,0,33,13.127016626725506,12.546175017667952,0.03631106700049713,0,"{""C"": 10.0, ""epsilon"": 0.5, ""gamma"": ""scale""}"
13,cell_viability__raw_outcome__core_physics__publication_grouped__r03__f003,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,3,3,CV_publication_grouped_r03_f003,19.81186512899876,ridge,ridge_01,1,12.239186203364657,13.047174844441452,0,scaled,487,121,60,15,0,33,17.3530709531574,13.92901414953345,0.0027174530005140696,0,"{""alpha"": 100.0}"
13,cell_viability__raw_outcome__core_physics__publication_grouped__r03__f003,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,3,3,CV_publication_grouped_r03_f003,19.81186512899876,elastic_net,elastic_net_03,3,11.600800402071563,12.40841347322349,0,scaled,487,121,60,15,0,33,16.504138668977124,14.522584549120104,0.002502063000065391,0,"{""alpha"": 1.0, ""l1_ratio"": 0.1}"
13,cell_viability__raw_outcome__core_physics__publication_grouped__r03__f003,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,3,3,CV_publication_grouped_r03_f003,19.81186512899876,random_forest,random_forest_06,6,10.531339759981412,11.870700028826974,0,unscaled,487,121,60,15,0,33,16.008700815049654,14.094472701968877,1.0330049479998706,0,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}"
