scenario_key,scenario_label,source_column,feature_mode,validation_design,repeat,source_seen_fraction,prediction_rows,publication_count,mae,rmse,bias,r2,macro_publication_mae
primary_all_prospective,Primary DOI grouping; all rows; prospective features,meta_primary_source_id,prospective_design,random_rowwise,4,0.9884868421052632,608,75,8.143807665717986,11.995848496724198,-0.27408408755676456,0.5015090475938604,8.427178440556531
primary_all_prospective,Primary DOI grouping; all rows; prospective features,meta_primary_source_id,prospective_design,random_rowwise,5,0.9884868421052632,608,75,7.8039787693625815,11.385880669102754,-0.08044014872831969,0.5509149562092219,7.883859540022883
primary_cells_only,Primary-cell observations only,meta_primary_source_id,prospective_design,publication_grouped,1,0.0,347,45,13.302767804082455,17.25761105948064,3.4854997753210104,-0.14023260651179426,11.452804072658594
primary_cells_only,Primary-cell observations only,meta_primary_source_id,prospective_design,publication_grouped,2,0.0,347,45,13.037620293522542,17.3701432885265,4.184111063679939,-0.15515138795455075,11.241747465305513
primary_cells_only,Primary-cell observations only,meta_primary_source_id,prospective_design,publication_grouped,3,0.0,347,45,12.874431873008367,16.766406069143713,3.0443758634947615,-0.07624726962162454,10.94353578057331
primary_cells_only,Primary-cell observations only,meta_primary_source_id,prospective_design,publication_grouped,4,0.0,347,45,13.039124450653485,17.4342954130852,5.491571198138894,-0.1636996490793008,10.898531179057857
primary_cells_only,Primary-cell observations only,meta_primary_source_id,prospective_design,publication_grouped,5,0.0,347,45,12.796187252374208,16.48538381404291,2.791775460599892,-0.04047159398626543,11.17151763931121
primary_cells_only,Primary-cell observations only,meta_primary_source_id,prospective_design,random_rowwise,1,0.9827089337175793,347,45,8.385288386733466,12.604658150038063,-0.07853735375430314,0.3917330138550401,8.080637966857898
primary_cells_only,Primary-cell observations only,meta_primary_source_id,prospective_design,random_rowwise,2,0.9740634005763689,347,45,8.120525823046151,11.79346840914223,0.14618203335678545,0.4675054118131935,7.636483232394759
primary_cells_only,Primary-cell observations only,meta_primary_source_id,prospective_design,random_rowwise,3,0.9913544668587896,347,45,7.899340711312542,11.446129043030492,-0.17953107256587875,0.4984094129211156,7.70278701174353
primary_cells_only,Primary-cell observations only,meta_primary_source_id,prospective_design,random_rowwise,4,0.9913544668587896,347,45,8.120546979805361,11.74968400773565,-0.09501571926649564,0.47145194839826343,8.05552771835922
primary_cells_only,Primary-cell observations only,meta_primary_source_id,prospective_design,random_rowwise,5,0.9798270893371758,347,45,7.792406816997326,11.314323998492462,-0.18408653139931028,0.5098947841451076,7.550292605612953
reference_grouping,Reference grouping instead of DOI,meta_sensitivity_source_id,prospective_design,publication_grouped,1,0.0,608,76,12.315153885599509,16.41185789175442,1.3745312320006877,0.06693729321390307,11.468772823295325
reference_grouping,Reference grouping instead of DOI,meta_sensitivity_source_id,prospective_design,publication_grouped,2,0.0,608,76,12.873017460728477,16.929930412099445,0.9296274821366376,0.007099608276855296,11.565061488949823
reference_grouping,Reference grouping instead of DOI,meta_sensitivity_source_id,prospective_design,publication_grouped,3,0.0,608,76,12.994716407085155,17.192635844412195,1.3504633709720617,-0.02395357132237952,11.782450424482363
reference_grouping,Reference grouping instead of DOI,meta_sensitivity_source_id,prospective_design,publication_grouped,4,0.0,608,76,13.204026246133017,17.26887785894984,1.2549901047466185,-0.033055303431958505,11.846539653931162
