global_task_number,task_id,dataset,target_key,target_label,unit,feature_set,validation_design,repeat,outer_fold,model_variant,model_display_name,method_key,outer_training_rows,outer_test_rows,outer_training_publications,outer_test_publications,source_overlap_count,prediction_rows,publication_count,mae,rmse,bias,r2,macro_publication_mae,source_seen_fraction,oob_nonfinite_count,residual_fixed_intercept,between_source_variance_raw,between_source_variance,residual_variance,residual_random_intercept_icc,minimum_shrinkage,mean_shrinkage,maximum_shrinkage,weighted_random_effect_mean
11,cell_viability__prospective_design__publication_grouped__r03__f01,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,3,1,random_intercept_rf_conditional,Conditional random-intercept RF,oob_residual_empirical_bayes_random_intercept_rf,486,122,59,16,0,122,16,12.118267799870988,15.378127702355762,-1.5798650640842664,0.1469852036273323,11.5143540915243,0.0,0,0.3064634667303891,-10.95549816250318,0.0,138.71105775735063,0.0,0.0,0.0,0.0,0.0
12,cell_viability__prospective_design__publication_grouped__r03__f02,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,3,2,tuned_rf_reference,Tuned Random Forest,oob_residual_empirical_bayes_random_intercept_rf,486,122,60,15,0,122,15,12.236842304944611,15.197079935710796,-5.2424744774290994,0.1014049417592871,12.534782908600876,0.0,0,0.1809748133746596,-15.905760917035172,0.0,156.916878532481,0.0,0.0,0.0,0.0,0.0
12,cell_viability__prospective_design__publication_grouped__r03__f02,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,3,2,matched_fixed_rf,Matched fixed Random Forest,oob_residual_empirical_bayes_random_intercept_rf,486,122,60,15,0,122,15,12.747376327650324,15.742484842445556,-4.651455944218435,0.0357485561301434,12.914040585281962,0.0,0,0.1809748133746596,-15.905760917035172,0.0,156.916878532481,0.0,0.0,0.0,0.0,0.0
12,cell_viability__prospective_design__publication_grouped__r03__f02,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,3,2,random_intercept_rf_marginal,Marginal random-intercept RF,oob_residual_empirical_bayes_random_intercept_rf,486,122,60,15,0,122,15,12.661339121291878,15.689964568310955,-4.470481130843775,0.0421717190787611,12.799959425147268,0.0,0,0.1809748133746596,-15.905760917035172,0.0,156.916878532481,0.0,0.0,0.0,0.0,0.0
12,cell_viability__prospective_design__publication_grouped__r03__f02,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,3,2,random_intercept_rf_conditional,Conditional random-intercept RF,oob_residual_empirical_bayes_random_intercept_rf,486,122,60,15,0,122,15,12.661339121291878,15.689964568310955,-4.470481130843775,0.0421717190787611,12.799959425147268,0.0,0,0.1809748133746596,-15.905760917035172,0.0,156.916878532481,0.0,0.0,0.0,0.0,0.0
13,cell_viability__prospective_design__publication_grouped__r03__f03,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,3,3,tuned_rf_reference,Tuned Random Forest,oob_residual_empirical_bayes_random_intercept_rf,487,121,60,15,0,121,15,15.00695432479062,21.62975563310514,8.079703151765578,-0.1483318976819352,12.878978300442764,0.0,0,0.1348949748568624,-9.149405504044791,0.0,124.73086809339662,0.0,0.0,0.0,0.0,0.0
13,cell_viability__prospective_design__publication_grouped__r03__f03,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,3,3,matched_fixed_rf,Matched fixed Random Forest,oob_residual_empirical_bayes_random_intercept_rf,487,121,60,15,0,121,15,15.10858943425332,21.65699903624113,8.184716519101542,-0.1512264445527067,12.422694029206175,0.0,0,0.1348949748568624,-9.149405504044791,0.0,124.73086809339662,0.0,0.0,0.0,0.0,0.0
13,cell_viability__prospective_design__publication_grouped__r03__f03,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,3,3,random_intercept_rf_marginal,Marginal random-intercept RF,oob_residual_empirical_bayes_random_intercept_rf,487,121,60,15,0,121,15,15.116393275773966,21.708338447889112,8.319611493958405,-0.1566910375418804,12.405364664182231,0.0,0,0.1348949748568624,-9.149405504044791,0.0,124.73086809339662,0.0,0.0,0.0,0.0,0.0
13,cell_viability__prospective_design__publication_grouped__r03__f03,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,3,3,random_intercept_rf_conditional,Conditional random-intercept RF,oob_residual_empirical_bayes_random_intercept_rf,487,121,60,15,0,121,15,15.116393275773966,21.708338447889112,8.319611493958405,-0.1566910375418804,12.405364664182231,0.0,0,0.1348949748568624,-9.149405504044791,0.0,124.73086809339662,0.0,0.0,0.0,0.0,0.0
14,cell_viability__prospective_design__publication_grouped__r03__f04,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,3,4,tuned_rf_reference,Tuned Random Forest,oob_residual_empirical_bayes_random_intercept_rf,487,121,60,15,0,121,15,12.82916205342408,16.516887098513553,8.18216453954065,-0.0106408942908824,10.250240231707345,0.0,0,0.0941914984828361,-14.220993561785155,0.0,160.33141817838683,0.0,0.0,0.0,0.0,0.0
14,cell_viability__prospective_design__publication_grouped__r03__f04,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,3,4,matched_fixed_rf,Matched fixed Random Forest,oob_residual_empirical_bayes_random_intercept_rf,487,121,60,15,0,121,15,13.411035996282614,17.054042421793877,7.576411369013396,-0.0774450865702878,11.07196197777674,0.0,0,0.0941914984828361,-14.220993561785155,0.0,160.33141817838683,0.0,0.0,0.0,0.0,0.0
14,cell_viability__prospective_design__publication_grouped__r03__f04,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,3,4,random_intercept_rf_marginal,Marginal random-intercept RF,oob_residual_empirical_bayes_random_intercept_rf,487,121,60,15,0,121,15,13.432053933960605,17.096096105329753,7.670602867496238,-0.0827653970702249,11.051932579236922,0.0,0,0.0941914984828361,-14.220993561785155,0.0,160.33141817838683,0.0,0.0,0.0,0.0,0.0
14,cell_viability__prospective_design__publication_grouped__r03__f04,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,3,4,random_intercept_rf_conditional,Conditional random-intercept RF,oob_residual_empirical_bayes_random_intercept_rf,487,121,60,15,0,121,15,13.432053933960605,17.096096105329753,7.670602867496238,-0.0827653970702249,11.051932579236922,0.0,0,0.0941914984828361,-14.220993561785155,0.0,160.33141817838683,0.0,0.0,0.0,0.0,0.0
15,cell_viability__prospective_design__publication_grouped__r03__f05,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,3,5,tuned_rf_reference,Tuned Random Forest,oob_residual_empirical_bayes_random_intercept_rf,486,122,61,14,0,122,14,9.693604691321136,12.032079234242104,-3.3498378763146475,-0.075019833257204,8.128687940730163,0.0,0,0.1933029631168153,-15.93781992692646,0.0,165.48533110036425,0.0,0.0,0.0,0.0,0.0
15,cell_viability__prospective_design__publication_grouped__r03__f05,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,3,5,matched_fixed_rf,Matched fixed Random Forest,oob_residual_empirical_bayes_random_intercept_rf,486,122,61,14,0,122,14,9.873866917683236,12.360070091658322,-3.7513266711057702,-0.1344281050145066,8.840816615387444,0.0,0,0.1933029631168153,-15.93781992692646,0.0,165.48533110036425,0.0,0.0,0.0,0.0,0.0
