outcome_key,validation_design,meta_primary_source_id,row_count,positive_count,negative_count,accuracy,mean_absolute_probability_error,brier_score,roc_auc
cell_viability,random_rowwise,doi:10.1002/jbm.a.34420,2,2,0,1.0,0.20659956071358537,0.04268355523042128,
cell_viability,random_rowwise,doi:10.1002/jbm.a.36036,4,1,3,0.75,0.44207565854633923,0.23430055560718296,0.0
cell_viability,random_rowwise,doi:10.1002/mabi.201600472,42,39,3,0.9285714285714286,0.154306884190783,0.0712023774952747,0.717948717948718
cell_viability,random_rowwise,doi:10.1002/smll.201905505,18,15,3,0.7777777777777778,0.2786395056957987,0.14586439955372174,0.5777777777777777
cell_viability,random_rowwise,doi:10.1002/term.1682,4,4,0,1.0,0.13528215300750684,0.01892757718762034,
cell_viability,random_rowwise,doi:10.1007/s00289-020-03421-y,1,1,0,1.0,0.33645048740425887,0.11319893047456335,
cell_viability,random_rowwise,doi:10.1007/s10439-016-1704-5,30,10,20,0.7,0.38799223280962963,0.19535688306698415,0.6950000000000001
cell_viability,random_rowwise,doi:10.1007/s10856-019-6258-2,3,3,0,1.0,0.21188146385454695,0.04514809449996721,
cell_viability,random_rowwise,doi:10.1007/s13205-018-1341-9,3,3,0,1.0,0.2009237115293571,0.04147889356905631,
cell_viability,random_rowwise,doi:10.1016/j.actbio.2014.06.034,9,6,3,0.5555555555555556,0.5190852058417885,0.2854766454351585,0.0
cell_viability,random_rowwise,doi:10.1016/j.actbio.2014.09.023,4,4,0,1.0,0.14019726566486454,0.019942829398343704,
cell_viability,random_rowwise,doi:10.1016/j.actbio.2014.09.033,4,4,0,1.0,0.17675775099215044,0.032379867042981805,
cell_viability,random_rowwise,doi:10.1016/j.actbio.2018.10.028,8,5,3,0.375,0.5447433077429044,0.30570364627270924,0.2
cell_viability,random_rowwise,doi:10.1016/j.actbio.2020.07.016,6,6,0,1.0,0.06756807685090783,0.004814043923587062,
cell_viability,random_rowwise,doi:10.1016/j.addma.2020.101640,4,4,0,1.0,0.21605443163342128,0.049132411196697694,
cell_viability,random_rowwise,doi:10.1016/j.biomaterials.2015.05.031,6,3,3,0.5,0.5014823036621008,0.25517906072647234,0.5555555555555556
cell_viability,random_rowwise,doi:10.1016/j.biomaterials.2016.07.038,9,6,3,0.6666666666666666,0.4694059002857002,0.2364970198502081,0.3333333333333333
cell_viability,random_rowwise,doi:10.1016/j.jmbbm.2017.12.018,3,3,0,1.0,0.32622923620247074,0.10645065953569632,
cell_viability,random_rowwise,doi:10.1016/j.mtbio.2020.100078,5,5,0,1.0,0.1197772296912742,0.014925318086044559,
cell_viability,random_rowwise,doi:10.1021/acs.biomac.5b00188,2,1,1,0.0,0.5878551514797051,0.35136436695831624,0.0
cell_viability,random_rowwise,doi:10.1021/acs.biomac.9b01204,12,4,8,0.6666666666666666,0.47052474430108376,0.25926557061122085,0.3125
cell_viability,random_rowwise,doi:10.1021/acsami.7b04216,3,3,0,1.0,0.2552992755772576,0.0663701756562837,
cell_viability,random_rowwise,doi:10.1021/acsami.7b16059,12,7,5,0.5,0.43975964163502873,0.21348689736663998,0.8571428571428571
cell_viability,random_rowwise,doi:10.1021/acsami.9b09782,6,3,3,0.16666666666666666,0.5542238426402682,0.30963593360413116,0.0
cell_viability,random_rowwise,doi:10.1021/acsbiomaterials.9b00167,12,10,2,0.8333333333333334,0.3470354866522743,0.1729927586763698,0.1
cell_viability,random_rowwise,doi:10.1038/s41598-017-17286-1,2,2,0,1.0,0.3522957528141631,0.12414260077065536,
cell_viability,random_rowwise,doi:10.1038/s41598-018-26407-3,20,20,0,1.0,0.019339927554748098,0.0006875704834960002,
cell_viability,random_rowwise,doi:10.1038/s41598-019-55034-9,15,9,6,0.7333333333333333,0.4143360036541195,0.19963403761225446,0.7407407407407407
cell_viability,random_rowwise,doi:10.1038/s41598-020-65050-9,18,0,18,1.0,0.017146902228426582,0.0003037752057209628,
cell_viability,random_rowwise,doi:10.1038/srep29977,3,2,1,0.3333333333333333,0.5802300743401595,0.3512086862101496,0.0
cell_viability,random_rowwise,doi:10.1039/c3bm00012e,6,6,0,1.0,0.08715934833921624,0.00806393197747723,
cell_viability,random_rowwise,doi:10.1039/c4bm00234b,3,1,2,0.3333333333333333,0.5746808907034054,0.3466558992563901,0.0
cell_viability,random_rowwise,doi:10.1088/0960-1317/22/8/085014,4,4,0,1.0,0.11879031379261934,0.014436463587911343,
cell_viability,random_rowwise,doi:10.1088/1758-5082/5/2/025004,3,3,0,1.0,0.24557828572860976,0.06167894848959449,
cell_viability,random_rowwise,doi:10.1088/1758-5082/6/2/024105,9,7,2,0.7777777777777778,0.3941646062906601,0.21361147531410804,0.14285714285714285
cell_viability,random_rowwise,doi:10.1088/1758-5082/6/3/035001,4,2,2,0.0,0.6424003234193272,0.41383451574548985,0.0
cell_viability,random_rowwise,doi:10.1088/1758-5090/7/4/044101,3,2,1,0.3333333333333333,0.5984374903897939,0.3696550697220243,0.0
cell_viability,random_rowwise,doi:10.1088/1758-5090/7/4/044102,10,3,7,0.5,0.44478014691396944,0.26571557290471676,0.4285714285714286
cell_viability,random_rowwise,doi:10.1088/1758-5090/7/4/045012,11,10,1,0.9090909090909091,0.20240676983321151,0.10628444650817909,0.2
cell_viability,random_rowwise,doi:10.1088/1758-5090/8/3/035020,14,4,10,0.7142857142857143,0.4297897628115272,0.24251319204074437,0.19999999999999998
cell_viability,random_rowwise,doi:10.1088/1758-5090/8/4/045001,4,2,2,0.0,0.6070640042153764,0.37016252861406057,0.0
cell_viability,random_rowwise,doi:10.1088/1758-5090/8/4/045002,4,0,4,0.25,0.50972460788861,0.26318172754857055,
cell_viability,random_rowwise,doi:10.1088/1758-5090/8/4/045005,1,1,0,1.0,0.4107416842522654,0.16870873118238772,
cell_viability,random_rowwise,doi:10.1088/1758-5090/aa7b1d,8,8,0,1.0,0.11654711281514728,0.013871102008857515,
cell_viability,random_rowwise,doi:10.1088/1758-5090/aacd30,6,6,0,1.0,0.08059572041640928,0.007253193165893959,
cell_viability,random_rowwise,doi:10.1088/1758-5090/ab0692,4,2,2,0.0,0.7041166275781108,0.5040583676665779,0.0
cell_viability,random_rowwise,doi:10.1088/1758-5090/ab15cb,6,4,2,0.6666666666666666,0.5014971947569286,0.26062362715250403,0.0
cell_viability,random_rowwise,doi:10.1088/1758-5090/ab19fd,8,5,3,0.375,0.5535536257915088,0.31787057926545936,0.0
cell_viability,random_rowwise,doi:10.1088/1758-5090/ab2622,9,9,0,1.0,0.06785683367755498,0.0048813081166760195,
cell_viability,random_rowwise,doi:10.1088/1758-5090/ab38ef,1,1,0,1.0,0.3158587215129144,0.0997667319557728,
cell_viability,random_rowwise,doi:10.1088/1758-5090/ab7553,4,0,4,1.0,0.16171119180455207,0.026195689038304663,
cell_viability,random_rowwise,doi:10.1088/1758-5090/abc39b,14,2,12,0.8571428571428571,0.251617265368376,0.14090176606127844,0.125
cell_viability,random_rowwise,doi:10.1089/biores.2013.0031,4,4,0,1.0,0.21428194223020572,0.04911021974985681,
cell_viability,random_rowwise,doi:10.1089/ten.a.2007.0004,21,2,19,0.9047619047619048,0.17930407751418173,0.0809179689742543,0.736842105263158
cell_viability,random_rowwise,doi:10.1089/ten.a.2007.0158,9,5,4,0.2222222222222222,0.5532582486447906,0.3100671532579142,0.1
cell_viability,random_rowwise,doi:10.1089/ten.tec.2007.0392,6,5,1,0.6666666666666666,0.45164777747687124,0.21949351163152586,0.4
cell_viability,random_rowwise,doi:10.1089/ten.tec.2015.0307,10,7,3,0.5,0.5380020699978255,0.3067558272410563,0.0
cell_viability,random_rowwise,doi:10.1115/1.3128729,4,2,2,0.0,0.5593553970052326,0.31523370950824203,0.0
cell_viability,random_rowwise,doi:10.1115/1.4024575,30,9,21,0.7666666666666667,0.29944652494544116,0.1312759206158486,0.947089947089947
cell_viability,random_rowwise,doi:10.1115/1.4043960,2,2,0,1.0,0.20175061016878637,0.040720446338143236,
cell_viability,random_rowwise,doi:10.18063/ijb.v5i2.2.204,19,1,18,0.9473684210526315,0.1061164939152078,0.04845856287175341,0.7222222222222222
cell_viability,random_rowwise,doi:10.18063/ijb.v6i1.250,2,0,2,0.5,0.5171032404189527,0.26803701713068795,
cell_viability,random_rowwise,doi:10.3390/ma13194237,3,3,0,1.0,0.17216142886126304,0.029743057775967533,
cell_viability,random_rowwise,doi:10.3390/polym12102346,2,2,0,1.0,0.24981320810634705,0.06240673906516676,
filament_diameter,publication_grouped,ref:akkineni gelinsky biofab 2016,2,0,2,1.0,0.07042767535208341,0.0049659957159405455,
filament_diameter,publication_grouped,ref:be22assoni khademhosseini biofab 2014,3,3,0,0.0,0.9206878892109035,0.8476676609025361,
filament_diameter,publication_grouped,ref:bociaga rosinska mat 2020,3,0,3,1.0,0.16043798705986467,0.02574038471083011,
filament_diameter,publication_grouped,ref:chen zhang appmatint 2019,3,0,3,1.0,0.17955927860709167,0.03225567750202058,
filament_diameter,publication_grouped,ref:chung wallace biomatsci 2013,3,0,3,1.0,0.13826825318159988,0.01943990194823331,
filament_diameter,publication_grouped,ref:cidonio oreffo biofab 2019,1,1,0,0.0,0.9367813880096346,0.8775593689212576,
filament_diameter,publication_grouped,ref:colosi khademhosseini advmat 2016,9,5,4,0.4444444444444444,0.5445898997215446,0.4552448509721834,0.7
filament_diameter,publication_grouped,ref:dai 2016,1,1,0,0.0,0.9354389639127629,0.8750460552061834,
filament_diameter,publication_grouped,ref:daly kelly biofab 2016,4,1,3,0.75,0.34253700366014783,0.17369826291587054,0.6666666666666667
filament_diameter,publication_grouped,ref:das ghosh actabiomat 2015,3,0,3,1.0,0.21951107112412735,0.04827442316268856,
filament_diameter,publication_grouped,ref:duan butcher jbiomedmatres 2012,2,0,2,1.0,0.32899449852923296,0.11071078901023518,
filament_diameter,publication_grouped,ref:duin 2019,2,2,0,0.0,0.8518328902658336,0.7256361636395373,
filament_diameter,publication_grouped,ref:fedorovich dhe22 tissueeng 2008,5,0,5,1.0,0.06908800097626702,0.005306838887995546,
