dataset,target_key,target_family,target_column,target_label,unit,baseline,baseline_display_name,validation_design,repeat,prediction_rows,publication_count,source_seen_fraction,fallback_fraction,mae,median_absolute_error,rmse,bias,r2,pearson_r,calibration_intercept,calibration_slope,macro_publication_mae,macro_publication_rmse,macro_publication_absolute_bias,publication_mean_mae,publication_mean_rmse,publication_mean_r2,publication_mean_pearson_r
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,publication_grouped,2,608,75,0.0,1.0,13.628745834475772,12.199669715060715,17.16945364727342,-0.0014823710411556665,-0.021194077060815886,-0.19375589447610006,397.42361621625787,-3.9869098674753154,12.53180182983063,13.97625250051107,9.854577424689584,9.854577424689584,11.96486058941907,-0.06611858865794606,-0.07929672085758362
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,publication_grouped,3,608,75,0.0,1.0,13.741437422183504,12.117815951360896,17.311808041466612,-0.005512124043076146,-0.038198009158622925,-0.26088214915588864,399.0932816046097,-4.008063739375396,12.605264797471689,14.04909702395996,9.95868081230109,9.95868081230109,12.080279358248434,-0.08678637564038394,-0.14377745095736075
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,publication_grouped,4,608,75,0.0,1.0,13.730561923957817,12.533276748971197,17.25123068350116,-0.0041042434268937795,-0.030945010753892888,-0.23484508106691554,399.1809758555316,-4.009093365665809,12.657760045509626,14.140874433254297,10.127966429627293,10.127966429627293,12.147809306866023,-0.0989708220979515,-0.2445372955122929
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,publication_grouped,5,608,75,0.0,1.0,13.729751798535254,12.300764887063657,17.2319597048493,-0.00032793175130735026,-0.028643004250091142,-0.22515993710564947,397.2098791445587,-3.984170149115104,12.713316634553163,14.154990805700379,10.095570130514277,10.095570130514277,12.174878942426533,-0.10387407407939264,-0.2813660288701779
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,random_rowwise,1,608,75,0.9884868421052632,0.011513157894736841,9.356385395123024,6.177083333333329,13.499560107472039,-0.18941387647444974,0.3687017725981644,0.6170840659391642,12.161245861510709,0.8494206422945476,8.705321821017373,9.920257386014459,1.3124950594690956,1.3124950594690956,3.5400205943192824,0.9066741815287999,0.9552238689426822
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,random_rowwise,2,608,75,0.9917763157894737,0.008223684210526315,9.172461326732403,5.841666666666669,13.392115051803861,-0.13516171535967447,0.37871097860206127,0.6242846641992146,11.559595100289377,0.8564037009094916,8.578697113216307,9.810801067380785,1.350584415769034,1.3505844157690334,3.4378946657366436,0.9119812163807839,0.9578698552576369
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,random_rowwise,3,608,75,0.9736842105263158,0.02631578947368421,9.459619233660716,6.199999999999996,13.661587217866327,-0.019938969886295836,0.3534566425292027,0.6042993226173363,12.124746392290973,0.8480719564772786,8.954729718744709,10.18602875582866,1.688447335215313,1.6884473352153118,4.44696864673013,0.8527286170075535,0.9246355895608634
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,random_rowwise,4,608,75,0.9884868421052632,0.011513157894736841,9.36752645478239,6.634545454545446,13.585251328714413,0.07337268166508375,0.3606617460148075,0.6126379634338682,13.084324203427641,0.8350502705527333,8.813169562721908,9.973766153309386,1.4586583468123882,1.4586583468123893,3.6425175942223627,0.9011916728512155,0.9498142987241353
cell_viability,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,random_rowwise,5,608,75,0.9884868421052632,0.011513157894736841,8.983195161200877,5.822222222222219,13.014913944996414,0.21119520606661166,0.413216439816828,0.646912915660131,7.7505995868895186,0.9003601680723021,8.23161818779724,9.551494326023963,1.2519455993042028,1.2519455993042024,3.4773443561956805,0.909949603180275,0.9539470762872388
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,global_training_mean,Global training mean,leave_one_publication_out,1,286,54,0.0,0.0,338.83109688192036,319.7988295373666,422.43939895211724,-3.1407498414882484,-0.048797567555594945,-0.8013120750055488,20716.51299185689,-26.839086585719524,357.1348389067964,376.04117786255404,350.2517366446578,350.2517366446578,395.3858120012437,-0.08894583660606825,-0.8011032761027402
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,global_training_mean,Global training mean,publication_grouped,1,286,54,0.0,0.0,330.45622336078463,320.1854260926607,415.16311029993005,0.029577648722606428,-0.012978792599960709,-0.1522000296016219,3746.6790956136565,-4.014267671850132,351.46360742774465,370.2514763403329,344.78445419699165,344.78445419699176,389.24052037527554,-0.055358969720422646,-0.03053965293100963
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,global_training_mean,Global training mean,publication_grouped,2,286,54,0.0,0.0,337.1622859307053,321.54999999999995,421.68945401350294,0.008878575712499257,-0.045077070520162854,-0.2837704531066079,3748.9803808441216,-4.017458801988379,357.5347317961435,376.5686355040613,350.97950028239575,350.97950028239575,395.8445165196961,-0.09147397043868821,-0.2214149092733616
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,global_training_mean,Global training mean,publication_grouped,3,286,54,0.0,0.0,331.32582796932246,324.60986885964894,418.08213982054355,0.03244497807211135,-0.027273463891421823,-0.2206743507687194,3747.736416845821,-4.015667288592641,351.89367942715734,371.111821562071,345.7705855929246,345.7705855929246,392.04396640950773,-0.07061584226378614,-0.13643954100461517
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,global_training_mean,Global training mean,publication_grouped,4,286,54,0.0,0.0,338.1937078868213,316.12726593886464,424.2580820646394,0.10237106785990631,-0.057847558429058976,-0.3210762193817281,3742.8475231264238,-4.008749296082438,356.10396957306534,374.92982983746674,349.9426295768532,349.9426295768532,395.31596310739127,-0.08856112404778416,-0.173052204712605
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,global_training_mean,Global training mean,publication_grouped,5,286,54,0.0,0.0,343.26002200595315,329.53499999999997,428.92418859870656,0.04931709750828075,-0.08124451191375726,-0.3808938995883993,3748.118707172955,-4.016088227004624,359.6324524855859,378.2240368719594,353.3320855358921,353.3320855358921,398.9241522920347,-0.10852317848800785,-0.21360551210905054
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,global_training_mean,Global training mean,random_rowwise,1,286,54,0.9475524475524476,0.0,329.9215416936679,313.39209170305674,413.4806457678244,-0.033321512389794264,-0.004785157493415904,-0.09231353671950532,3740.463025662244,-4.006285870816321,351.73090402555135,371.3057760897575,344.5429736533285,344.5429736533285,389.1909320177629,-0.055090086181481146,-0.16763994726482317
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,global_training_mean,Global training mean,random_rowwise,2,286,54,0.9615384615384616,0.0,329.69433598079695,315.2016498448632,412.71861146325136,0.007253721272958488,-0.0010849833668051811,-0.04401131491898899,3747.275868350223,-4.015186299653268,351.23102794287746,370.52435752236937,344.15476765226384,344.15476765226384,388.54175803589504,-0.05157322216640048,-0.04767270107732702
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,global_training_mean,Global training mean,random_rowwise,3,286,54,0.9475524475524476,0.0,331.7446910933183,320.9151805676855,415.60164585193206,-0.003577545485666735,-0.015119935783886262,-0.16434895256303744,3748.9631288553414,-4.017502687161077,354.3844246409146,374.29550557509754,347.5745995953377,347.5745995953377,392.2419307279354,-0.07169733956834645,-0.3382210431703654
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,global_training_mean,Global training mean,random_rowwise,4,286,54,0.9545454545454546,0.0,331.3931947240647,323.78362882096076,414.47786242475456,0.07262226873326749,-0.009637606015688194,-0.1307326547106131,3729.5267519980507,-3.991082558212046,352.8019738045029,371.9113946811433,345.64939950424974,345.64939950424974,390.2395784715353,-0.06078347194774758,-0.2108782740999633
filament_diameter,filament_diameter,raw_outcome,filament_diameter_um,Filament diameter,µm,global_training_mean,Global training mean,random_rowwise,5,286,54,0.9755244755244755,0.0,331.2209181316596,323.71966069868984,415.37644269694465,-0.029796556440986888,-0.014020102439893822,-0.15819221027329805,3746.5887896459267,-4.014465808704112,353.0172698513761,372.55585604631983,346.06657089260347,346.0665708926036,390.66082811770923,-0.0630748635373799,-0.24018637142819693
