dataset,target_family,target_key,feature_set,validation_design,model_key,model_display_name,outer_split_count,unique_selected_candidates,dominant_candidate_id,dominant_parameters_json,dominant_selection_count,dominant_selection_fraction,selection_entropy,candidate_space_size,normalized_selection_entropy
filament_diameter,raw_outcome,filament_diameter,core_physics,random_rowwise,elastic_net,Elastic Net,25,6,elastic_net_04,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",7,0.28,1.7111270944339307,9,0.7787675015488842
filament_diameter,raw_outcome,filament_diameter,core_physics,random_rowwise,random_forest,Random Forest,25,3,random_forest_06,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",13,0.52,0.9978737678714716,6,0.556923953805801
filament_diameter,raw_outcome,filament_diameter,core_physics,random_rowwise,rbf_svr,RBF-SVR,25,2,rbf_svr_11,"{""C"": 100.0, ""epsilon"": 0.1, ""gamma"": ""scale""}",16,0.64,0.6534181947937018,12,0.2629548256267285
filament_diameter,raw_outcome,filament_diameter,core_physics,random_rowwise,ridge,Ridge regression,25,4,ridge_03,"{""alpha"": 1.0}",15,0.6,0.9937390880265915,5,0.6174448112283306
filament_diameter,raw_outcome,filament_diameter,full_retrospective,leave_one_publication_out,elastic_net,Elastic Net,54,7,elastic_net_03,"{""alpha"": 1.0, ""l1_ratio"": 0.1}",34,0.6296296296296297,1.2390527456734106,9,0.5639172064858123
filament_diameter,raw_outcome,filament_diameter,full_retrospective,leave_one_publication_out,random_forest,Random Forest,54,6,random_forest_04,"{""max_depth"": 24, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 300}",23,0.42592592592592593,1.4993620326911792,6,0.8368098834924257
filament_diameter,raw_outcome,filament_diameter,full_retrospective,leave_one_publication_out,rbf_svr,RBF-SVR,54,4,rbf_svr_11,"{""C"": 100.0, ""epsilon"": 0.1, ""gamma"": ""scale""}",18,0.3333333333333333,1.3477374050994082,12,0.5423694307447687
filament_diameter,raw_outcome,filament_diameter,full_retrospective,leave_one_publication_out,ridge,Ridge regression,54,5,ridge_01,"{""alpha"": 100.0}",39,0.7222222222222222,0.8859909707371374,5,0.5504971418233663
filament_diameter,raw_outcome,filament_diameter,full_retrospective,publication_grouped,elastic_net,Elastic Net,25,5,elastic_net_03,"{""alpha"": 1.0, ""l1_ratio"": 0.1}",18,0.72,0.9505229100979934,9,0.43260161928934415
filament_diameter,raw_outcome,filament_diameter,full_retrospective,publication_grouped,random_forest,Random Forest,25,6,random_forest_04,"{""max_depth"": 24, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 300}",11,0.44,1.5329024601935841,6,0.8555291525005896
