global_task_number,task_id,dataset,target_key,validation_design,repeat,outer_fold,oob_nonfinite_count,residual_fixed_intercept,between_source_variance_raw,between_source_variance,residual_variance,residual_random_intercept_icc,effective_group_size,minimum_shrinkage,mean_shrinkage,maximum_shrinkage,weighted_random_effect_mean,training_group_count,training_observation_count,task_elapsed_seconds
77,filament_diameter__prospective_design__random_rowwise__r01__f02,filament_diameter,filament_diameter,random_rowwise,1,2,0,3.5072213668175642,5623.660026809031,5623.660026809031,30015.70078087979,0.15779351535383834,4.420087336244541,0.15779351535383834,0.3969436107407208,0.8180685144605612,7.36916592764296e-17,51,229,1.6487298879947048
78,filament_diameter__prospective_design__random_rowwise__r01__f03,filament_diameter,filament_diameter,random_rowwise,1,3,0,0.4992008679407982,4220.904913012525,4220.904913012525,31573.92490826086,0.11791940160318852,4.251259657373195,0.11791940160318852,0.3199665160970613,0.7696956967171783,2.0943945268037887e-16,53,229,2.4986002080040635
79,filament_diameter__prospective_design__random_rowwise__r01__f04,filament_diameter,filament_diameter,random_rowwise,1,4,0,-1.239591193909339,4707.2791418076495,4707.2791418076495,40140.78294087795,0.10496059190091468,4.337528898022091,0.10496059190091468,0.29735568909441645,0.71120418516748,-4.3439293889263765e-16,52,229,2.4536316770027042
80,filament_diameter__prospective_design__random_rowwise__r01__f05,filament_diameter,filament_diameter,random_rowwise,1,5,0,3.4115406690098986,5752.6026564306885,5752.6026564306885,37954.905483633986,0.13161589166776452,4.243869667450453,0.13161589166776452,0.33953537813056095,0.7911926536156159,1.3807489843373127e-15,53,229,1.4791628499951912
81,filament_diameter__prospective_design__random_rowwise__r02__f01,filament_diameter,filament_diameter,random_rowwise,2,1,0,-2.349035795391333,10048.381730151485,10048.381730151485,24157.72523983387,0.2937598756552034,4.3087375300997595,0.2937598756552034,0.5580869725831996,0.9089483393567439,-7.791038769299344e-17,52,228,1.4779989259986905
82,filament_diameter__prospective_design__random_rowwise__r02__f02,filament_diameter,filament_diameter,random_rowwise,2,2,0,2.8555632962408337,6695.36138884704,6695.36138884704,34055.69902861147,0.16429907149063103,4.335987670177241,0.16429907149063103,0.40145144804353977,0.8188998769386489,-1.5514033531879916e-16,52,229,1.4702925809979206
83,filament_diameter__prospective_design__random_rowwise__r02__f03,filament_diameter,filament_diameter,random_rowwise,2,3,0,-6.270419033624504,130.93368264293994,130.93368264293994,43410.92118791807,0.003007076364389456,4.164455796325286,0.003007076364389456,0.012483980113305138,0.07011660542364073,6.13289138057128e-17,54,229,1.5151831539988052
84,filament_diameter__prospective_design__random_rowwise__r02__f04,filament_diameter,filament_diameter,random_rowwise,2,4,0,4.338713320291774,5318.237159288752,5318.237159288752,31425.851442960757,0.1447372179198143,4.416768558951965,0.1447372179198143,0.37468472609827086,0.8088239988539079,-1.0084121795721946e-15,51,229,1.486847203996149
85,filament_diameter__prospective_design__random_rowwise__r02__f05,filament_diameter,filament_diameter,random_rowwise,2,5,0,6.616880332089596,4677.725831149675,4677.725831149675,35787.79510988764,0.11559781568030801,4.335816422638925,0.11559781568030801,0.3197699596300276,0.7503911212230032,-2.1719646944631882e-16,52,229,1.9786109940032475
86,filament_diameter__prospective_design__random_rowwise__r03__f01,filament_diameter,filament_diameter,random_rowwise,3,1,0,2.5887318382592417,7796.020941732494,7796.020941732494,32790.22335904534,0.1920853007230108,4.143495531281033,0.1920853007230108,0.4246830173920796,0.855987896718934,-1.5582077538598687e-17,54,228,2.559277963999193
