dataset,target_family,target_key,target_label,unit,validation_design,model_key,model_display_name,macro_publication_mae_mean__core_physics,macro_publication_mae_mean__full_retrospective,macro_publication_mae_mean__prospective_design,mae_mean__core_physics,mae_mean__full_retrospective,mae_mean__prospective_design,prospective_minus_core_macro_mae,full_minus_core_macro_mae,prospective_improvement_percent_vs_core,full_improvement_percent_vs_core
filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,Filament-to-nozzle ratio,dimensionless,random_rowwise,ridge,Ridge regression,0.8550904129521164,0.7412662511060889,0.8387541042464131,0.7052471594623423,0.5184419242045543,0.5550242654950831,-0.01633630870570335,-0.1138241618460275,1.9104773551727512,13.31135984241253
filament_diameter,raw_outcome,filament_diameter,Filament diameter,µm,leave_one_publication_out,elastic_net,Elastic Net,350.5682678709071,522.129902133934,384.9536221291221,368.43625068753727,607.7977004992887,342.504573120915,34.38535425821499,171.56163426302692,-9.808461691939847,-48.938152704169624
filament_diameter,raw_outcome,filament_diameter,Filament diameter,µm,leave_one_publication_out,random_forest,Random Forest,300.160806870296,293.66057103896816,294.13783700801054,286.3698054947305,306.27878132685544,297.08697277664146,-6.022969862285493,-6.5002358313278705,2.0065810473677557,2.1655844742370776
filament_diameter,raw_outcome,filament_diameter,Filament diameter,µm,leave_one_publication_out,rbf_svr,RBF-SVR,272.95981385662776,292.20332575246573,305.6794460851513,265.07803875087353,290.90381780047016,301.0204679912859,32.71963222852355,19.24351189583797,-11.986977777508871,-7.049943222025214
filament_diameter,raw_outcome,filament_diameter,Filament diameter,µm,leave_one_publication_out,ridge,Ridge regression,350.4812645723546,596.1795712258823,419.041261821357,365.69373663308926,725.9489072737385,373.9970879182542,68.55999724900244,245.69830665352777,-19.561672528389508,-70.1031214759284
filament_diameter,raw_outcome,filament_diameter,Filament diameter,µm,publication_grouped,elastic_net,Elastic Net,373.6387009362644,491.56462151692915,428.54689502059335,341.4219790444454,519.8617131946645,371.22649666429476,54.908194084328954,117.92592058066475,-14.695531792274172,-31.561484472878696
filament_diameter,raw_outcome,filament_diameter,Filament diameter,µm,publication_grouped,random_forest,Random Forest,287.24312570888094,281.44648327342486,291.13023491605173,279.3037242001074,293.3121005450092,292.3218530698411,3.887109207170795,-5.796642435456079,-1.3532470786125461,2.0180265136548257
filament_diameter,raw_outcome,filament_diameter,Filament diameter,µm,publication_grouped,rbf_svr,RBF-SVR,282.0531604293801,296.06741470120505,304.87672662120457,281.32037614127216,300.618184968253,305.8663335959062,22.823566191824455,14.014254271824939,-8.091937759917062,-4.968657061133622
filament_diameter,raw_outcome,filament_diameter,Filament diameter,µm,publication_grouped,ridge,Ridge regression,377.9270475406756,624.4619449083827,449.2905155272168,348.70782988933524,714.8066030062604,395.58065525608725,71.36346798654125,246.53489736770717,-18.882868651749657,-65.23346211180429
filament_diameter,raw_outcome,filament_diameter,Filament diameter,µm,random_rowwise,elastic_net,Elastic Net,269.94964938461305,206.22802403309592,252.622966695692,219.23593231434188,164.99300577877838,184.40730601456215,-17.32668268892104,-63.72162535151713,6.418486828347275,23.60500393194777
filament_diameter,raw_outcome,filament_diameter,Filament diameter,µm,random_rowwise,random_forest,Random Forest,151.86014333782828,130.41499025259458,142.27775301538742,114.87686419983709,106.4711733537315,110.43554737703417,-9.582390322440858,-21.4451530852337,6.310010060456653,14.121646808620996
filament_diameter,raw_outcome,filament_diameter,Filament diameter,µm,random_rowwise,rbf_svr,RBF-SVR,210.08565083220896,215.13133664114025,223.68025458505508,167.36930756290934,173.71815925172652,177.80935930611355,13.594603752846126,5.045685808931296,-6.470981572988939,-2.4017279566423984
filament_diameter,raw_outcome,filament_diameter,Filament diameter,µm,random_rowwise,ridge,Ridge regression,269.92251856852806,211.88684824258016,260.7916617619997,219.70764072224614,165.3407625441281,187.19537336357536,-9.130856806528357,-58.035670325947905,3.382769564744636,21.500862778595398
