dataset,target_key,feature_set,model_variant,task_id,observed_feature_count,minimum_task_rank,maximum_task_rank,task_rank_sum,minimum_task_importance,maximum_task_importance,original_feature_count,expected_rank_sum,feature_count_matches_inventory,minimum_rank_valid,maximum_rank_valid,rank_sum_valid
cell_viability,cell_viability,full_retrospective,tuned_rf_reference,step16__cell_viability__full_retrospective__publication_grouped__r05__f05,46,1.0,46.0,1081.0,0.0,1.0860321374697517,46,1081.0,True,True,True,True
cell_viability,cell_viability,prospective_design,matched_fixed_rf,step16__cell_viability__prospective_design__publication_grouped__r01__f01,44,1.0,41.5,990.0,0.0,2.071063034548003,44,990.0,True,True,True,True
cell_viability,cell_viability,prospective_design,matched_fixed_rf,step16__cell_viability__prospective_design__publication_grouped__r01__f02,44,1.0,43.5,990.0,0.0,2.5468628009862124,44,990.0,True,True,True,True
cell_viability,cell_viability,prospective_design,matched_fixed_rf,step16__cell_viability__prospective_design__publication_grouped__r01__f03,44,1.0,43.5,990.0,0.0,4.159375827434427,44,990.0,True,True,True,True
cell_viability,cell_viability,prospective_design,matched_fixed_rf,step16__cell_viability__prospective_design__publication_grouped__r01__f04,44,1.0,43.0,990.0,0.0,2.365664378035357,44,990.0,True,True,True,True
cell_viability,cell_viability,prospective_design,matched_fixed_rf,step16__cell_viability__prospective_design__publication_grouped__r01__f05,44,1.0,42.5,990.0,0.0,2.286266490570319,44,990.0,True,True,True,True
cell_viability,cell_viability,prospective_design,matched_fixed_rf,step16__cell_viability__prospective_design__publication_grouped__r02__f01,44,1.0,43.0,990.0,0.0,2.871087189594814,44,990.0,True,True,True,True
cell_viability,cell_viability,prospective_design,matched_fixed_rf,step16__cell_viability__prospective_design__publication_grouped__r02__f02,44,1.0,42.0,990.0,0.0,1.8882959192382776,44,990.0,True,True,True,True
cell_viability,cell_viability,prospective_design,matched_fixed_rf,step16__cell_viability__prospective_design__publication_grouped__r02__f03,44,1.0,42.0,990.0,0.0,2.296334412318869,44,990.0,True,True,True,True
cell_viability,cell_viability,prospective_design,matched_fixed_rf,step16__cell_viability__prospective_design__publication_grouped__r02__f04,44,1.0,43.5,990.0,0.0,1.6535851704281506,44,990.0,True,True,True,True
