dataset,target_key,feature_set,model_variant,model_display_name,task_id,original_feature,task_macro_publication_mean_absolute_shap,task_feature_count,task_rank
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f04,substrate_temperature_degc,0.3532904351855357,15,13.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f04,syringe_temperature_degc,1.258113970821894,15,4.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f05,cacl2_conc_mm,1.232300618969134,15,4.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f05,cell_density_cells_or_ml,0.8373434841018386,15,7.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f05,conical_or_straight_nozzle,1.9275306326192945,15,2.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f05,days_observed,1.421923595121671,15,3.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f05,extrusion_pressure_kpa,2.137971068921218,15,1.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f05,final_alginate_conc_pctw_or_v,0.8402020998951881,15,6.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f05,final_gelatin_conc_pctw_or_v,0.4644194382254864,15,13.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f05,final_gelma_conc_pctw_or_v,0.1427764857106669,15,15.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f05,nozzle_movement_speed_mm_or_s,0.8782800896865942,15,5.0
cell_viability,cell_viability,core_physics,matched_fixed_rf,Matched fixed Random Forest,step16__cell_viability__core_physics__publication_grouped__r02__f05,outer_nozzle_inner_diameter_um,0.6328232078177204,15,10.0
