dataset,target_family,target_key,target_column,target_label,unit,feature_set,validation_design,model_key,meta_primary_source_id,repeat_count,source_rows,source_mae,source_rmse,source_bias,source_true_mean,source_predicted_mean
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1088/1758-5090/8/3/035020,1,14,35.09952705087275,44.469925931171254,32.04118610337063,51.50714285714286,83.54832896051349
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1088/1758-5090/8/4/045001,1,4,8.2,8.325993269448956,-1.0281847708020813,75.7,74.67181522919792
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1088/1758-5090/8/4/045002,1,4,5.928882935665978,7.2095287728481265,5.928882935665978,75.375,81.30388293566598
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1088/1758-5090/8/4/045005,1,1,6.354373477612825,6.354373477612825,-6.354373477612825,86.92,80.56562652238718
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1088/1758-5090/aa7b1d,1,8,10.405595278430601,10.560944862398292,-10.405595278430601,92.2125,81.8069047215694
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1088/1758-5090/aacd30,1,6,17.45319261548488,17.803788936636398,-17.45319261548488,94.76666666666667,77.31347405118179
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1088/1758-5090/ab0692,1,4,12.494834548134179,15.921702888666804,-10.35644966783012,86.405,76.04855033216988
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1088/1758-5090/ab15cb,1,6,2.0565362952528097,2.4319725891216053,-0.6204312522953449,81.38333333333334,80.76290208103798
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1088/1758-5090/ab19fd,1,8,9.099042112775297,12.245490273244625,2.0251934288710562,81.4925,83.51769342887106
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1088/1758-5090/ab2622,1,9,13.536620674442027,13.837685670563546,-13.536620674442027,87.54444444444444,74.00782377000242
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1088/1758-5090/ab38ef,1,1,18.158162512442388,18.158162512442388,-18.158162512442388,95.0,76.84183748755761
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1088/1758-5090/ab7553,1,4,23.61881395069077,24.58860808886339,23.61881395069077,53.775,77.39381395069077
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1088/1758-5090/abc39b,1,14,6.277626372949761,7.98103548126075,4.749820114745729,73.65071428571427,78.40053440046002
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1089/biores.2013.0031,1,4,21.828518898429003,21.903611992583258,-21.828518898429003,97.0,75.171481101571
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1089/ten.a.2007.0004,1,21,18.127364775117154,20.488566736616562,17.031323143403696,60.94285714285714,77.97418028626085
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1089/ten.a.2007.0158,1,9,6.55350663779565,9.036850998205523,-3.0297832417200365,82.33333333333333,79.3035500916133
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1089/ten.tec.2007.0392,1,6,4.390304747679856,4.809313250229975,-4.390304747679856,82.0,77.60969525232015
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1089/ten.tec.2015.0307,1,10,4.895711514051247,5.795391451905539,-4.213541747916319,83.31,79.09645825208368
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1115/1.3128729,1,4,5.068088644785853,5.521774481497169,-2.1845307776161746,80.33500000000001,78.15046922238383
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1115/1.4024575,1,30,19.51703817786643,22.75867404307418,11.572048803324822,68.81833333333334,80.39038213665816
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1115/1.4043960,1,2,17.754305795013437,17.760116841657904,-17.754305795013437,98.03,80.27569420498656
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.18063/ijb.v5i2.2.204,1,19,17.02918787651641,19.388088272821392,16.74441239265115,62.04736842105264,78.79178081370378
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.18063/ijb.v6i1.250,1,2,25.823449654395603,25.839465675505018,25.823449654395603,55.05,80.8734496543956
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.3390/ma13194237,1,3,23.18016792575389,23.204912350293423,-23.18016792575389,98.27,75.0898320742461
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.3390/polym12102346,1,2,11.069163765760159,11.102155964280541,-11.069163765760159,91.0,79.93083623423985
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1002/adfm.201700798,1,4,9.48664265873018,11.235097730727746,-9.48664265873018,87.5,78.01335734126982
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1002/adhm.201500677,1,7,11.324418343640506,12.332329135532813,-10.710494719645462,90.0,79.28950528035453
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,random_forest,doi:10.1002/adhm.201601451,1,9,7.161820716690741,7.544330236336504,-0.8728242880576479,83.11111111111111,82.23828682305346
