dataset,target_family,target_key,target_column,target_label,unit,feature_set,validation_design,repeat,model_key,model_display_name,feature_set_display_name,validation_display_name,prediction_rows,publication_count,mae,median_absolute_error,rmse,bias,r2,pearson_r,calibration_intercept,calibration_slope,macro_publication_mae,macro_publication_rmse,macro_publication_absolute_bias,publication_mean_mae,publication_mean_rmse,publication_mean_r2,publication_mean_pearson_r
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,random_rowwise,4,elastic_net,Elastic Net,Core physics,Random row-wise,608,75,11.659727534673594,8.87911749183133,15.616561994834097,-0.0032482565328037474,0.15517609279840183,0.40285647830589205,13.80202944928501,0.8268470800504805,12.652310162384829,14.294633383999248,9.159837878237386,9.159837878237386,11.77654123439703,-0.032822628218782235,0.3452251368877711
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,random_rowwise,4,random_forest,Random Forest,Core physics,Random row-wise,608,75,7.929375691395598,5.05501507936507,11.930081564675037,-0.08703905061832129,0.5069599919398493,0.7131679502058295,4.3426931973965495,0.9465420508803732,8.329625600132596,9.542859799394371,2.870068920066511,2.87006892006651,4.5801716818870215,0.8437738447584631,0.9286427306950629
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,random_rowwise,4,rbf_svr,RBF-SVR,Core physics,Random row-wise,608,75,8.6260973539609,5.116260223131697,13.515264053468517,1.4054569838964996,0.36723214846784835,0.6285093553669604,13.775013215719776,0.8128178875047202,8.818550587947243,10.314140511620428,3.403734362894863,3.4037343628948626,6.404322555356875,0.6945524650818267,0.839524235450957
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,random_rowwise,4,ridge,Ridge regression,Core physics,Random row-wise,608,75,11.629950969522428,8.886378510804917,15.59473640205021,-0.013426750916854904,0.15753588205610947,0.40685903261803846,14.371788788269233,0.8198022082671037,12.649195239211245,14.279726678155669,9.1556232155231,9.155623215523107,11.812757650266473,-0.03918487823954431,0.3505183652926014
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,random_rowwise,5,elastic_net,Elastic Net,Core physics,Random row-wise,608,75,11.571283712077602,9.199549782941716,15.408650484233323,-0.07169375158352825,0.17752151857902843,0.42135692727097834,0.3594631680618393,0.996385843985519,12.264985616624045,13.859659101999629,8.939029900667352,8.939029900667352,11.437204584006667,0.025840635824960656,0.3550274341568803
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,random_rowwise,5,random_forest,Random Forest,Core physics,Random row-wise,608,75,7.512465799717918,5.114186111110996,11.146016784603752,-0.008340275907560321,0.5696372029562153,0.754743296713958,0.007971272129008652,1.0000046307107655,7.8151249979045785,9.135199134138833,2.94865039383882,2.9486503938388196,4.9481844544118685,0.8176599828442414,0.9102906084822862
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,random_rowwise,5,rbf_svr,RBF-SVR,Core physics,Random row-wise,608,75,8.35304180506044,5.0767883839263455,13.267085592316299,1.6790634218330458,0.3902575969961324,0.6420462589770064,10.26493360100886,0.8532202656541131,8.017477193293633,9.626849453292932,3.586626519599052,3.586626519599051,6.712215468570904,0.6644772220361548,0.8255370900981976
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,random_rowwise,5,ridge,Ridge regression,Core physics,Random row-wise,608,75,11.554862869192382,8.985470688118916,15.418924962597513,-0.07394817161642471,0.1764242966286057,0.42055272568544594,3.7793275503685995,0.9534620512678541,12.357101894744849,13.967101817725288,9.022592229576215,9.022592229576215,11.541037700039116,0.008072456773059011,0.35228164473188217
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,full_retrospective,leave_one_publication_out,1,elastic_net,Elastic Net,Full retrospective,LOPO,608,75,13.077344590495574,11.389198100854017,16.685206821294113,0.3207811612675641,0.03559706225659631,0.20509129805964668,21.758455596039738,0.7240624131369252,12.725792586846147,14.244573754755416,9.993353050377072,9.99335305037707,12.127579928627618,-0.09531370415119289,0.10978564644603676
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,full_retrospective,leave_one_publication_out,1,random_forest,Random Forest,Full retrospective,LOPO,608,75,12.266281348068288,10.191494761904806,16.413344569139397,1.3749319555400674,0.06676824153644167,0.27105692441698476,2.1837721897194537,0.9561030345760724,11.18626790884037,12.792783221148117,8.677739263321547,8.677739263321547,10.972994157734643,0.10331371704798564,0.33845727444818713
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,full_retrospective,leave_one_publication_out,1,rbf_svr,RBF-SVR,Full retrospective,LOPO,608,75,12.652837469368466,9.758464929844202,17.534647698168612,5.077238788528657,-0.06509764675213803,0.15812158107860408,-23.548128760169472,1.2178895920131836,11.322738756181401,13.126588604020887,9.223600394552241,9.223600394552241,11.964891504575089,-0.0661240980017177,0.042484961022282844
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,full_retrospective,leave_one_publication_out,1,ridge,Ridge regression,Full retrospective,LOPO,608,75,13.43993790014936,11.176271967383265,17.33796732119561,0.7595489258595635,-0.041337950546483926,0.25408997616506834,44.230248407808034,0.44080165930694765,13.228377843239784,14.798045813376799,10.172417863168029,10.172417863168029,13.580823760293127,-0.37354362317700107,0.15985108503064993
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,full_retrospective,publication_grouped,1,elastic_net,Elastic Net,Full retrospective,Publication-grouped,608,75,13.722787688796856,11.89041023352565,17.354949862830136,-0.5418370547882055,-0.0433789309901651,0.0752093265815078,59.46957752945201,0.2555183518508132,13.114851418040958,14.646121925140294,10.5198379712933,10.5198379712933,12.918734716614782,-0.24288283626407092,0.018529091329648563
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,full_retrospective,publication_grouped,1,random_forest,Random Forest,Full retrospective,Publication-grouped,608,75,12.542027301616605,10.649852431520067,16.676044097826573,1.0899299032761391,0.0366559800411379,0.21299458743050742,18.41394270800515,0.7585690569455927,11.521076919929131,13.17011726050859,9.049740200762654,9.049740200762654,11.484875829879746,0.017702952897087787,0.22720973470777373
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,full_retrospective,publication_grouped,1,rbf_svr,RBF-SVR,Full retrospective,Publication-grouped,608,75,12.910015233955852,10.020358052219109,17.833447486422454,5.384395478737469,-0.10170659837479779,0.06968840293564207,39.63195470858958,0.4708872900060927,11.401657917574788,13.175526435686253,9.251149988672394,9.251149988672392,12.085293566491098,-0.08768875612138283,0.03131916844252631
